%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
343675500000,842,343674500000,fcu,-0.056587792933,0.0343585014343,0.9700294137,9.52119720383e-05,0.000166920740336,-0.73475847356,0.67832879093
343914500000,843,343910500000,fcu,-0.0581201799214,0.0344885699451,0.97627300024,-7.51640187017e-05,0.000330293275431,-0.73472259518,0.678367594589
344154500000,844,344154500000,fcu,-0.0590198226273,0.0344574600458,0.977489113808,0.000171752968022,0.000308801943632,-0.73469227384,0.67840042593
344395500000,845,344393500000,fcu,-0.0595729127526,0.0343172848225,0.975268661976,0.000258689247374,0.00020082665662,-0.734658587252,0.678436918899
344634500000,846,344634500000,fcu,-0.0600008517504,0.034202054143,0.97399532795,0.000280451601199,-1.85606771886e-05,-0.734626590493,0.678471586394
344875500000,847,344875500000,fcu,-0.0603928379714,0.0341310165823,0.979524672031,0.000301720552053,-4.1875999972e-05,-0.73459375135,0.678507131642
345117500000,848,345114500000,fcu,-0.0606453195214,0.033995077014,0.975630640984,0.000319103828,3.70339077187e-05,-0.734556622974,0.678547319239
345355500000,849,345354500000,fcu,-0.060834556818,0.0337885171175,0.973627388477,0.000347490181737,9.41230220366e-05,-0.734519244125,0.678587761754
345595500000,850,345594500000,fcu,-0.0609229765832,0.0336141809821,0.972066938877,0.000269519847501,-1.00358956143e-05,-0.7344797761,0.678630522272
345835500000,851,345834500000,fcu,-0.060923166573,0.0334992744029,0.967214941978,0.000245818123758,-7.80336288234e-06,-0.734442076343,0.67867133136
346075500000,852,346074500000,fcu,-0.0609253682196,0.0333627872169,0.967361092567,0.000297040102864,1.85968427415e-05,-0.734405181665,0.678711235037
346315500000,853,346314500000,fcu,-0.0609415248036,0.033190779388,0.966973900795,0.00033433637874,-2.56146370236e-06,-0.734371360824,0.678747812235
346555500000,854,346554500000,fcu,-0.0582708604634,0.0331500284374,0.968473851681,0.000342272225364,1.62874192807e-05,-0.734333410779,0.678788865847
346795500000,855,346794500000,fcu,-0.0522193722427,0.0339444726706,0.970832169056,-0.00234799187093,-2.11210242814e-05,-0.734287532779,0.678834520111
347034500000,856,347034500000,fcu,-0.0396906211972,0.0283137131482,0.969160079956,1.21840214789e-05,0.0101930059535,-0.734225387981,0.67882927318
347274500000,857,347274500000,fcu,-0.0197429414839,0.0100563419983,0.969437360764,0.00291544366829,0.0160082645124,-0.734135863045,0.678807609155
347515500000,858,347515500000,fcu,0.00812716409564,-0.0155418794602,0.968214035034,0.0012549781469,0.0129069630945,-0.734109845096,0.67890689396
347754500000,859,347754500000,fcu,0.0424604937434,-0.0504041425884,0.969299614429,0.000379738765447,0.0104025882182,-0.734074756774,0.678988875774
347995500000,860,347995500000,fcu,0.0832940191031,-0.0950672850013,0.97025847435,0.00162937318595,0.0102888640233,-0.734024753904,0.679042815349
348234500000,861,348234500000,fcu,0.124851755798,-0.1414180547,0.967780292034,0.00155244592806,0.00935360730899,-0.733962800281,0.679123484902
348474500000,862,348474500000,fcu,0.173290118575,-0.193722307682,0.966617226601,0.00101036685116,0.0100032564708,-0.733889997052,0.679193923888
348715500000,863,348714500000,fcu,0.22783306241,-0.255518823862,0.96494281292,0.00155715656516,0.0103973601723,-0.733815302693,0.679267673085
348955500000,864,348955500000,fcu,0.289356321096,-0.326688379049,0.965511023998,0.00172203891041,0.00977995657449,-0.733739016568,0.679358846706
349195500000,865,349195500000,fcu,0.347398906946,-0.393629938364,0.968894481659,0.00111929495104,0.00807348548372,-0.733655276956,0.679472957965
349435500000,866,349434500000,fcu,0.412487566471,-0.467533111572,0.970597982407,0.00075798559829,0.00913620220667,-0.73355493452,0.679568328653
349675500000,867,349675500000,fcu,0.484273046255,-0.550575315952,0.968018651009,0.00163810626781,0.0107036089272,-0.733446505462,0.679660925013
349914500000,868,349915500000,fcu,0.563979744911,-0.642651677132,0.964506387711,0.00151242962809,0.00911931783648,-0.733348707901,0.679789837537
350154500000,869,350154500000,fcu,0.638880431652,-0.72994607687,0.967363476753,0.0013499908876,0.00708194340343,-0.733231375382,0.679941007557
350395500000,870,350394500000,fcu,0.714799106121,-0.820989608765,0.969695150852,0.000988035423641,0.00742733584206,-0.733109382336,0.680069475862
350638500000,871,350634500000,fcu,0.798848032951,-0.920103311539,0.96679520607,0.00104998313751,0.0103175299728,-0.732961283679,0.680191298635
350875500000,872,350874500000,fcu,0.890379846096,-1.02729141712,0.966878712177,0.000864093427252,0.00935806390603,-0.732829517162,0.680347395643
351115500000,873,351114500000,fcu,0.97695338726,-1.12941467762,0.968106389046,0.000935713614727,0.00689175083927,-0.732692732981,0.680524053393
351355500000,874,351355500000,fcu,1.06349170208,-1.23167443275,0.968463361263,0.000628978801927,0.00697524238512,-0.732540879556,0.680687013361
351594500000,875,351594500000,fcu,1.1609377861,-1.34253048897,0.970804750919,0.000994867966541,0.0105992188681,-0.732358296579,0.680836244796
351834500000,876,351834500000,fcu,1.26458930969,-1.4624465704,0.974836051464,0.00152648075063,0.00922311012205,-0.732196081534,0.681029736709
352075500000,877,352075500000,fcu,1.36456739902,-1.57866537571,0.978165626526,0.00117938277766,0.00624956889835,-0.732025430042,0.68124762144
352314500000,878,352314500000,fcu,1.46032822132,-1.68882381916,0.978023827076,0.000893183767983,0.00478881182423,-0.731838386764,0.681460817042
352555500000,879,352554500000,fcu,1.56258833408,-1.806812644,0.974360823631,0.001346120683,0.00980875328015,-0.731614368856,0.681646823217
352794500000,880,352794500000,fcu,1.67214357853,-1.93590474129,0.973750650883,0.00167899718882,0.00984587965511,-0.731404722662,0.681870494514
353035500000,881,353035500000,fcu,1.78260529041,-2.0642619133,0.968506634235,0.000763886896598,0.00661984200466,-0.73120103775,0.682129486653
353274500000,882,353275500000,fcu,1.88405692577,-2.18191218376,0.973001480103,0.000621057026404,0.0040535055337,-0.730965196603,0.682402421403
353514500000,883,353514500000,fcu,1.99147415161,-2.30633640289,0.971233785152,0.000991493189483,0.00909083374069,-0.730705701961,0.682631343263
353755500000,884,353754500000,fcu,2.1051800251,-2.4390900135,0.968455731869,0.00151733410176,0.0104333587327,-0.73044617937,0.682888879516
353994500000,885,353994500000,fcu,2.22339749336,-2.5732126236,0.968374192715,0.000852859762785,0.00695142625424,-0.73019978222,0.68319779592
354234500000,886,354234500000,fcu,2.32946181297,-2.69356536865,0.966152429581,0.00102449213145,0.00440011056666,-0.729931179426,0.683505715224
354474500000,887,354474500000,fcu,2.4395275116,-2.82052302361,0.96735316515,0.00141058126859,0.00890481821818,-0.729627532143,0.683785330942
354717500000,888,354714500000,fcu,2.55776119232,-2.95700740814,0.965651929379,0.0017549142106,0.0111967380844,-0.729319176498,0.684079741057
354955500000,889,354954500000,fcu,2.68259072304,-3.09993863106,0.964938342571,0.0009505394025,0.00793709181034,-0.729033607547,0.684431222341
355195500000,890,355195500000,fcu,2.79206395149,-3.22593283653,0.968360304832,0.000924189848847,0.00443951078892,-0.728724248302,0.684792236049
355434500000,891,355434500000,fcu,2.9042942524,-3.35927295685,0.972571492195,0.000943076577888,0.00757785683948,-0.728394475815,0.685115445961
355675500000,892,355675500000,fcu,3.02543759346,-3.50154852867,0.972806692123,0.00116230973596,0.0111199552962,-0.728034495338,0.685449319227
355914500000,893,355914500000,fcu,3.15388560295,-3.64947152138,0.970614731312,0.00016936490415,0.00790356011005,-0.727706237448,0.685843376459
356155500000,894,356154500000,fcu,3.26953125,-3.7826230526,0.970653831959,0.000362860228214,0.0045082554281,-0.727354713672,0.686246795595
356395500000,895,356395500000,fcu,3.38631868362,-3.91608953476,0.967694282532,0.000649846328441,0.00622288085094,-0.726989425489,0.686620148759
356635500000,896,356634500000,fcu,3.50980830193,-4.05847930908,0.969874620438,0.00139581909715,0.010854364988,-0.726585876469,0.686988499587
356874500000,897,356874500000,fcu,3.63801026344,-4.20748090744,0.969723045826,0.00124440329647,0.00885017134579,-0.726208602039,0.687416316545
357114500000,898,357114500000,fcu,3.75760531425,-4.34436035156,0.965437471867,5.03694866156e-05,0.00538861628226,-0.72581931459,0.687864291009
357354500000,899,357354500000,fcu,3.87435626984,-4.47661018372,0.966948270798,2.95029433271e-05,0.00580994899076,-0.725406677293,0.688296009113
